year,age,origin,uni,applicants,accepted,party,brexit
2015,18,International students,Northern Irish Universities,1015,60,Conservative,Pre Brexit
2015,18,International students,Scottish Universities,17880,1810,Conservative,Pre Brexit
2015,18,International students,Welsh Universities,5730,540,Conservative,Pre Brexit
2015,18,Scottish students,English Universities,8040,1065,Conservative,Pre Brexit
2015,18,Scottish students,Northern Irish Universities,170,10,Conservative,Pre Brexit
2015,18,Scottish students,Scottish Universities,172365,25845,Conservative,Pre Brexit
2015,18,Scottish students,Welsh Universities,145,15,Conservative,Pre Brexit
2015,18,Welsh students,English Universities,67405,9305,Conservative,Pre Brexit
2015,18,Welsh students,Northern Irish Universities,110,10,Conservative,Pre Brexit
2015,18,Welsh students,Scottish Universities,1325,130,Conservative,Pre Brexit
2015,18,Welsh students,Welsh Universities,40385,9330,Conservative,Pre Brexit
2015,19,European students,English Universities,94940,12580,Conservative,Pre Brexit
2015,19,European students,Northern Irish Universities,1145,130,Conservative,Pre Brexit
2015,19,European students,Scottish Universities,28740,2410,Conservative,Pre Brexit
2015,19,European students,Welsh Universities,3740,640,Conservative,Pre Brexit
2015,19,English students,English Universities,755370,125730,Conservative,Pre Brexit
2015,19,English students,Northern Irish Universities,1330,110,Conservative,Pre Brexit
2015,19,English students,Scottish Universities,15030,1740,Conservative,Pre Brexit
2015,19,English students,Welsh Universities,21740,3985,Conservative,Pre Brexit
2015,19,Northern Irish students,English Universities,9495,1230,Conservative,Pre Brexit
2015,19,Northern Irish students,Northern Irish Universities,16850,2520,Conservative,Pre Brexit
2015,19,Northern Irish students,Scottish Universities,2255,210,Conservative,Pre Brexit
2015,19,Northern Irish students,Welsh Universities,345,45,Conservative,Pre Brexit
2015,19,International students,English Universities,141190,15140,Conservative,Pre Brexit
2015,19,International students,Northern Irish Universities,820,65,Conservative,Pre Brexit
2015,19,International students,Scottish Universities,10660,1100,Conservative,Pre Brexit
2015,19,International students,Welsh Universities,4590,545,Conservative,Pre Brexit
2015,19,Scottish students,English Universities,4420,700,Conservative,Pre Brexit
2015,19,Scottish students,Northern Irish Universities,80,5,Conservative,Pre Brexit
2015,19,Scottish students,Scottish Universities,44750,6940,Conservative,Pre Brexit
2015,19,Scottish students,Welsh Universities,120,20,Conservative,Pre Brexit
2015,19,Welsh students,English Universities,21180,3045,Conservative,Pre Brexit
2015,19,Welsh students,Northern Irish Universities,40,0,Conservative,Pre Brexit
2015,19,Welsh students,Scottish Universities,400,30,Conservative,Pre Brexit
2015,19,Welsh students,Welsh Universities,13865,3420,Conservative,Pre Brexit
2015,20,European students,English Universities,33200,4740,Conservative,Pre Brexit
2015,20,European students,Northern Irish Universities,475,40,Conservative,Pre Brexit
2015,20,European students,Scottish Universities,11290,1110,Conservative,Pre Brexit
2015,20,European students,Welsh Universities,1350,260,Conservative,Pre Brexit
2015,20,English students,English Universities,237030,40060,Conservative,Pre Brexit
2015,20,English students,Northern Irish Universities,300,20,Conservative,Pre Brexit
2015,20,English students,Scottish Universities,2960,310,Conservative,Pre Brexit
2015,20,English students,Welsh Universities,5030,860,Conservative,Pre Brexit
2015,20,Northern Irish students,English Universities,4120,540,Conservative,Pre Brexit
2015,20,Northern Irish students,Northern Irish Universities,7410,1260,Conservative,Pre Brexit
2015,20,Northern Irish students,Scottish Universities,880,85,Conservative,Pre Brexit
2015,20,Northern Irish students,Welsh Universities,150,20,Conservative,Pre Brexit
2015,20,International students,English Universities,71760,8070,Conservative,Pre Brexit
2015,20,International students,Northern Irish Universities,790,50,Conservative,Pre Brexit
2015,20,International students,Scottish Universities,5610,620,Conservative,Pre Brexit
2015,20,International students,Welsh Universities,3900,460,Conservative,Pre Brexit
2015,20,Scottish students,English Universities,1720,300,Conservative,Pre Brexit
2015,20,Scottish students,Northern Irish Universities,25,0,Conservative,Pre Brexit
2015,20,Scottish students,Scottish Universities,29770,4860,Conservative,Pre Brexit
2015,20,Scottish students,Welsh Universities,50,0,Conservative,Pre Brexit
2015,20,Welsh students,English Universities,6710,980,Conservative,Pre Brexit
2015,20,Welsh students,Northern Irish Universities,15,0,Conservative,Pre Brexit
2015,20,Welsh students,Scottish Universities,100,10,Conservative,Pre Brexit
2015,20,Welsh students,Welsh Universities,5400,1310,Conservative,Pre Brexit
2015,21 - 24,European students,English Universities,32610,4375,Conservative,Pre Brexit
2015,21 - 24,European students,Northern Irish Universities,780,110,Conservative,Pre Brexit
2015,21 - 24,European students,Scottish Universities,12440,1150,Conservative,Pre Brexit
2015,21 - 24,European students,Welsh Universities,1505,320,Conservative,Pre Brexit
2015,21 - 24,English students,English Universities,333300,54310,Conservative,Pre Brexit
2015,21 - 24,English students,Northern Irish Universities,680,110,Conservative,Pre Brexit
2015,21 - 24,English students,Scottish Universities,5080,405,Conservative,Pre Brexit
2015,21 - 24,English students,Welsh Universities,7340,1030,Conservative,Pre Brexit
2015,21 - 24,Northern Irish students,English Universities,5310,645,Conservative,Pre Brexit
2015,21 - 24,Northern Irish students,Northern Irish Universities,11380,1720,Conservative,Pre Brexit
2015,21 - 24,Northern Irish students,Scottish Universities,1870,190,Conservative,Pre Brexit
2015,21 - 24,Northern Irish students,Welsh Universities,210,25,Conservative,Pre Brexit
2015,21 - 24,International students,English Universities,67800,7215,Conservative,Pre Brexit
2015,21 - 24,International students,Northern Irish Universities,880,80,Conservative,Pre Brexit
2015,21 - 24,International students,Scottish Universities,5570,620,Conservative,Pre Brexit
2015,21 - 24,International students,Welsh Universities,3870,465,Conservative,Pre Brexit
2015,21 - 24,Scottish students,English Universities,3250,390,Conservative,Pre Brexit
2015,21 - 24,Scottish students,Northern Irish Universities,90,5,Conservative,Pre Brexit
2015,21 - 24,Scottish students,Scottish Universities,59950,9360,Conservative,Pre Brexit
2015,21 - 24,Scottish students,Welsh Universities,70,10,Conservative,Pre Brexit
2015,21 - 24,Welsh students,English Universities,8145,970,Conservative,Pre Brexit
2015,21 - 24,Welsh students,Northern Irish Universities,50,10,Conservative,Pre Brexit
2015,21 - 24,Welsh students,Scottish Universities,165,10,Conservative,Pre Brexit
2015,21 - 24,Welsh students,Welsh Universities,9160,2110,Conservative,Pre Brexit
2015,25 - 29,European students,English Universities,7640,790,Conservative,Pre Brexit
2015,25 - 29,European students,Northern Irish Universities,355,30,Conservative,Pre Brexit
2015,25 - 29,European students,Scottish Universities,3030,285,Conservative,Pre Brexit
2015,25 - 29,European students,Welsh Universities,415,80,Conservative,Pre Brexit
2015,25 - 29,English students,English Universities,153490,24810,Conservative,Pre Brexit
2015,25 - 29,English students,Northern Irish Universities,345,115,Conservative,Pre Brexit
2015,25 - 29,English students,Scottish Universities,1840,130,Conservative,Pre Brexit
2015,25 - 29,English students,Welsh Universities,2680,310,Conservative,Pre Brexit
2015,25 - 29,Northern Irish students,English Universities,1200,130,Conservative,Pre Brexit
2015,25 - 29,Northern Irish students,Northern Irish Universities,4640,685,Conservative,Pre Brexit
2015,25 - 29,Northern Irish students,Scottish Universities,490,40,Conservative,Pre Brexit
2015,25 - 29,Northern Irish students,Welsh Universities,50,0,Conservative,Pre Brexit
2015,25 - 29,International students,English Universities,14700,1340,Conservative,Pre Brexit
2015,25 - 29,International students,Northern Irish Universities,170,0,Conservative,Pre Brexit
2015,25 - 29,International students,Scottish Universities,1690,165,Conservative,Pre Brexit
2015,25 - 29,International students,Welsh Universities,640,70,Conservative,Pre Brexit
2015,25 - 29,Scottish students,English Universities,1570,165,Conservative,Pre Brexit
2015,25 - 29,Scottish students,Northern Irish Universities,60,5,Conservative,Pre Brexit
2015,25 - 29,Scottish students,Scottish Universities,29665,4855,Conservative,Pre Brexit
2015,25 - 29,Scottish students,Welsh Universities,50,0,Conservative,Pre Brexit
2015,25 - 29,Welsh students,English Universities,3200,330,Conservative,Pre Brexit
2015,25 - 29,Welsh students,Scottish Universities,60,10,Conservative,Pre Brexit
2015,25 - 29,Welsh students,Welsh Universities,4995,1305,Conservative,Pre Brexit
2015,30 - 34,European students,English Universities,1720,180,Conservative,Pre Brexit
2015,30 - 34,European students,Northern Irish Universities,70,10,Conservative,Pre Brexit
2015,30 - 34,European students,Scottish Universities,600,45,Conservative,Pre Brexit
2015,30 - 34,European students,Welsh Universities,90,15,Conservative,Pre Brexit
2015,30 - 34,English students,English Universities,83780,13425,Conservative,Pre Brexit
2015,30 - 34,English students,Northern Irish Universities,250,130,Conservative,Pre Brexit
2015,30 - 34,English students,Scottish Universities,605,40,Conservative,Pre Brexit
2015,30 - 34,English students,Welsh Universities,875,80,Conservative,Pre Brexit
2015,30 - 34,Northern Irish students,English Universities,410,45,Conservative,Pre Brexit
2015,30 - 34,Northern Irish students,Northern Irish Universities,2245,350,Conservative,Pre Brexit
2015,30 - 34,Northern Irish students,Scottish Universities,80,5,Conservative,Pre Brexit
2015,30 - 34,Northern Irish students,Welsh Universities,20,0,Conservative,Pre Brexit
2015,30 - 34,International students,English Universities,4200,320,Conservative,Pre Brexit
2015,30 - 34,International students,Northern Irish Universities,50,0,Conservative,Pre Brexit
2015,30 - 34,International students,Scottish Universities,550,50,Conservative,Pre Brexit
2015,30 - 34,International students,Welsh Universities,210,5,Conservative,Pre Brexit
2015,30 - 34,Scottish students,English Universities,450,50,Conservative,Pre Brexit
2015,30 - 34,Scottish students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2015,30 - 34,Scottish students,Scottish Universities,13180,2310,Conservative,Pre Brexit
2015,30 - 34,Scottish students,Welsh Universities,20,0,Conservative,Pre Brexit
2015,30 - 34,Welsh students,English Universities,1090,90,Conservative,Pre Brexit
2015,30 - 34,Welsh students,Scottish Universities,35,5,Conservative,Pre Brexit
2015,30 - 34,Welsh students,Welsh Universities,2625,760,Conservative,Pre Brexit
2015,35 and over,European students,English Universities,1560,120,Conservative,Pre Brexit
2015,35 and over,European students,Northern Irish Universities,170,30,Conservative,Pre Brexit
2015,35 and over,European students,Scottish Universities,450,30,Conservative,Pre Brexit
2015,35 and over,European students,Welsh Universities,70,10,Conservative,Pre Brexit
2015,35 and over,English students,English Universities,138440,21985,Conservative,Pre Brexit
2015,35 and over,English students,Northern Irish Universities,620,305,Conservative,Pre Brexit
2015,35 and over,English students,Scottish Universities,890,70,Conservative,Pre Brexit
2015,35 and over,English students,Welsh Universities,1135,130,Conservative,Pre Brexit
2015,35 and over,Northern Irish students,English Universities,230,20,Conservative,Pre Brexit
2015,35 and over,Northern Irish students,Northern Irish Universities,2440,370,Conservative,Pre Brexit
2015,35 and over,Northern Irish students,Scottish Universities,120,10,Conservative,Pre Brexit
2015,35 and over,Northern Irish students,Welsh Universities,10,0,Conservative,Pre Brexit
2015,35 and over,International students,English Universities,2920,220,Conservative,Pre Brexit
2015,35 and over,International students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2015,35 and over,International students,Scottish Universities,240,20,Conservative,Pre Brexit
2015,35 and over,International students,Welsh Universities,140,15,Conservative,Pre Brexit
2015,35 and over,Scottish students,English Universities,610,60,Conservative,Pre Brexit
2015,35 and over,Scottish students,Scottish Universities,16375,3265,Conservative,Pre Brexit
2015,35 and over,Scottish students,Welsh Universities,20,0,Conservative,Pre Brexit
2015,35 and over,Welsh students,English Universities,1310,150,Conservative,Pre Brexit
2015,35 and over,Welsh students,Scottish Universities,30,0,Conservative,Pre Brexit
2015,35 and over,Welsh students,Welsh Universities,3470,1055,Conservative,Pre Brexit
2016,17 and under,European students,English Universities,28740,3505,Conservative,Pre Brexit
2016,17 and under,European students,Northern Irish Universities,640,60,Conservative,Pre Brexit
2016,17 and under,European students,Scottish Universities,6780,470,Conservative,Pre Brexit
2016,17 and under,European students,Welsh Universities,945,135,Conservative,Pre Brexit
2016,17 and under,English students,English Universities,7660,1255,Conservative,Pre Brexit
2016,17 and under,English students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2016,17 and under,English students,Scottish Universities,440,50,Conservative,Pre Brexit
2016,17 and under,English students,Welsh Universities,135,20,Conservative,Pre Brexit
2016,17 and under,Northern Irish students,English Universities,200,30,Conservative,Pre Brexit
2016,17 and under,Northern Irish students,Northern Irish Universities,160,30,Conservative,Pre Brexit
2016,17 and under,Northern Irish students,Scottish Universities,40,0,Conservative,Pre Brexit
2016,17 and under,Northern Irish students,Welsh Universities,5,0,Conservative,Pre Brexit
2016,17 and under,International students,English Universities,49185,4080,Conservative,Pre Brexit
2016,17 and under,International students,Northern Irish Universities,275,10,Conservative,Pre Brexit
2016,17 and under,International students,Scottish Universities,4430,420,Conservative,Pre Brexit
2016,17 and under,International students,Welsh Universities,1440,120,Conservative,Pre Brexit
2016,17 and under,Scottish students,English Universities,190,15,Conservative,Pre Brexit
2016,17 and under,Scottish students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2016,17 and under,Scottish students,Scottish Universities,5860,760,Conservative,Pre Brexit
2016,17 and under,Welsh students,English Universities,175,30,Conservative,Pre Brexit
2016,17 and under,Welsh students,Scottish Universities,20,0,Conservative,Pre Brexit
2016,17 and under,Welsh students,Welsh Universities,45,10,Conservative,Pre Brexit
2016,18,European students,English Universities,124790,15980,Conservative,Pre Brexit
2016,18,European students,Northern Irish Universities,2800,230,Conservative,Pre Brexit
2016,18,European students,Scottish Universities,31040,2565,Conservative,Pre Brexit
2016,18,European students,Welsh Universities,5375,750,Conservative,Pre Brexit
2016,18,English students,English Universities,2091540,333470,Conservative,Pre Brexit
2016,18,English students,Northern Irish Universities,3110,300,Conservative,Pre Brexit
2016,18,English students,Scottish Universities,48385,5570,Conservative,Pre Brexit
2016,18,English students,Welsh Universities,65120,11090,Conservative,Pre Brexit
2016,18,Northern Irish students,English Universities,34930,4110,Conservative,Pre Brexit
2016,18,Northern Irish students,Northern Irish Universities,64210,9970,Conservative,Pre Brexit
2016,18,Northern Irish students,Scottish Universities,12170,1280,Conservative,Pre Brexit
2016,18,Northern Irish students,Welsh Universities,1820,175,Conservative,Pre Brexit
2016,18,International students,English Universities,203785,20030,Conservative,Pre Brexit
2016,18,International students,Northern Irish Universities,1040,70,Conservative,Pre Brexit
2016,18,International students,Scottish Universities,18625,1945,Conservative,Pre Brexit
2016,18,International students,Welsh Universities,5505,580,Conservative,Pre Brexit
2016,18,Scottish students,English Universities,8275,1140,Conservative,Pre Brexit
2016,18,Scottish students,Northern Irish Universities,190,5,Conservative,Pre Brexit
2016,18,Scottish students,Scottish Universities,170270,26060,Conservative,Pre Brexit
2016,18,Scottish students,Welsh Universities,145,15,Conservative,Pre Brexit
2016,18,Welsh students,English Universities,67820,9320,Conservative,Pre Brexit
2016,18,Welsh students,Northern Irish Universities,120,5,Conservative,Pre Brexit
2016,18,Welsh students,Scottish Universities,1310,130,Conservative,Pre Brexit
2016,18,Welsh students,Welsh Universities,40070,9330,Conservative,Pre Brexit
2016,19,European students,English Universities,103570,13850,Conservative,Pre Brexit
2016,19,European students,Northern Irish Universities,1245,130,Conservative,Pre Brexit
2016,19,European students,Scottish Universities,29310,2630,Conservative,Pre Brexit
2016,19,European students,Welsh Universities,5685,780,Conservative,Pre Brexit
2016,19,English students,English Universities,749720,125935,Conservative,Pre Brexit
2016,19,English students,Northern Irish Universities,1085,70,Conservative,Pre Brexit
2016,19,English students,Scottish Universities,14870,1745,Conservative,Pre Brexit
2016,19,English students,Welsh Universities,20610,3745,Conservative,Pre Brexit
2016,19,Northern Irish students,English Universities,11415,1530,Conservative,Pre Brexit
2016,19,Northern Irish students,Northern Irish Universities,18705,2960,Conservative,Pre Brexit
2016,19,Northern Irish students,Scottish Universities,2470,270,Conservative,Pre Brexit
2016,19,Northern Irish students,Welsh Universities,450,65,Conservative,Pre Brexit
2016,19,International students,English Universities,137700,14465,Conservative,Pre Brexit
2016,19,International students,Northern Irish Universities,920,110,Conservative,Pre Brexit
2016,19,International students,Scottish Universities,10935,1070,Conservative,Pre Brexit
2016,19,International students,Welsh Universities,4230,465,Conservative,Pre Brexit
2016,19,Scottish students,English Universities,4615,700,Conservative,Pre Brexit
2016,19,Scottish students,Northern Irish Universities,80,0,Conservative,Pre Brexit
2016,19,Scottish students,Scottish Universities,47080,7255,Conservative,Pre Brexit
2016,19,Scottish students,Welsh Universities,85,10,Conservative,Pre Brexit
2016,19,Welsh students,English Universities,21715,3140,Conservative,Pre Brexit
2016,19,Welsh students,Northern Irish Universities,25,0,Conservative,Pre Brexit
2016,19,Welsh students,Scottish Universities,430,50,Conservative,Pre Brexit
2016,19,Welsh students,Welsh Universities,14200,3560,Conservative,Pre Brexit
2016,20,European students,English Universities,34855,4850,Conservative,Pre Brexit
2016,20,European students,Northern Irish Universities,505,50,Conservative,Pre Brexit
2016,20,European students,Scottish Universities,11450,1260,Conservative,Pre Brexit
2016,20,European students,Welsh Universities,1680,290,Conservative,Pre Brexit
2016,20,English students,English Universities,227890,39130,Conservative,Pre Brexit
2016,20,English students,Northern Irish Universities,240,20,Conservative,Pre Brexit
2016,20,English students,Scottish Universities,3080,245,Conservative,Pre Brexit
2016,20,English students,Welsh Universities,4955,890,Conservative,Pre Brexit
2016,20,Northern Irish students,English Universities,4050,500,Conservative,Pre Brexit
2016,20,Northern Irish students,Northern Irish Universities,8095,1425,Conservative,Pre Brexit
2016,20,Northern Irish students,Scottish Universities,810,110,Conservative,Pre Brexit
2016,20,Northern Irish students,Welsh Universities,175,20,Conservative,Pre Brexit
2016,20,International students,English Universities,66890,7600,Conservative,Pre Brexit
2016,20,International students,Northern Irish Universities,730,100,Conservative,Pre Brexit
2016,20,International students,Scottish Universities,5440,565,Conservative,Pre Brexit
2016,20,International students,Welsh Universities,3335,410,Conservative,Pre Brexit
2016,20,Scottish students,English Universities,1780,280,Conservative,Pre Brexit
2016,20,Scottish students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2016,20,Scottish students,Scottish Universities,30345,4910,Conservative,Pre Brexit
2016,20,Scottish students,Welsh Universities,35,10,Conservative,Pre Brexit
2016,20,Welsh students,English Universities,6050,870,Conservative,Pre Brexit
2016,20,Welsh students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2016,20,Welsh students,Scottish Universities,110,20,Conservative,Pre Brexit
2016,20,Welsh students,Welsh Universities,5190,1370,Conservative,Pre Brexit
2016,21 - 24,European students,English Universities,33240,4510,Conservative,Pre Brexit
2016,21 - 24,European students,Northern Irish Universities,660,70,Conservative,Pre Brexit
2016,21 - 24,European students,Scottish Universities,12350,1250,Conservative,Pre Brexit
2016,21 - 24,European students,Welsh Universities,1610,315,Conservative,Pre Brexit
2016,21 - 24,English students,English Universities,315470,52040,Conservative,Pre Brexit
2016,21 - 24,English students,Northern Irish Universities,560,60,Conservative,Pre Brexit
2016,21 - 24,English students,Scottish Universities,4930,435,Conservative,Pre Brexit
2016,21 - 24,English students,Welsh Universities,6800,920,Conservative,Pre Brexit
2016,21 - 24,Northern Irish students,English Universities,4985,605,Conservative,Pre Brexit
2016,21 - 24,Northern Irish students,Northern Irish Universities,11160,1810,Conservative,Pre Brexit
2016,21 - 24,Northern Irish students,Scottish Universities,2110,195,Conservative,Pre Brexit
2016,21 - 24,Northern Irish students,Welsh Universities,240,20,Conservative,Pre Brexit
2016,21 - 24,International students,English Universities,63200,6520,Conservative,Pre Brexit
2016,21 - 24,International students,Northern Irish Universities,715,80,Conservative,Pre Brexit
2016,21 - 24,International students,Scottish Universities,4970,550,Conservative,Pre Brexit
2016,21 - 24,International students,Welsh Universities,3190,385,Conservative,Pre Brexit
2016,21 - 24,Scottish students,English Universities,3550,475,Conservative,Pre Brexit
2016,21 - 24,Scottish students,Northern Irish Universities,90,5,Conservative,Pre Brexit
2016,21 - 24,Scottish students,Scottish Universities,60730,9710,Conservative,Pre Brexit
2016,21 - 24,Scottish students,Welsh Universities,110,20,Conservative,Pre Brexit
2016,21 - 24,Welsh students,English Universities,8800,1110,Conservative,Pre Brexit
2016,21 - 24,Welsh students,Northern Irish Universities,30,0,Conservative,Pre Brexit
2016,21 - 24,Welsh students,Scottish Universities,245,25,Conservative,Pre Brexit
2016,21 - 24,Welsh students,Welsh Universities,8920,2095,Conservative,Pre Brexit
2016,25 - 29,European students,English Universities,7500,860,Conservative,Pre Brexit
2016,25 - 29,European students,Northern Irish Universities,325,45,Conservative,Pre Brexit
2016,25 - 29,European students,Scottish Universities,2940,270,Conservative,Pre Brexit
2016,25 - 29,European students,Welsh Universities,385,80,Conservative,Pre Brexit
2016,25 - 29,English students,English Universities,150310,24620,Conservative,Pre Brexit
2016,25 - 29,English students,Northern Irish Universities,160,35,Conservative,Pre Brexit
2016,25 - 29,English students,Scottish Universities,1985,155,Conservative,Pre Brexit
2016,25 - 29,English students,Welsh Universities,2790,310,Conservative,Pre Brexit
2016,25 - 29,Northern Irish students,English Universities,1200,120,Conservative,Pre Brexit
2016,25 - 29,Northern Irish students,Northern Irish Universities,4600,700,Conservative,Pre Brexit
2016,25 - 29,Northern Irish students,Scottish Universities,575,50,Conservative,Pre Brexit
2016,25 - 29,Northern Irish students,Welsh Universities,95,10,Conservative,Pre Brexit
2016,25 - 29,International students,English Universities,13230,1150,Conservative,Pre Brexit
2016,25 - 29,International students,Northern Irish Universities,140,10,Conservative,Pre Brexit
2016,25 - 29,International students,Scottish Universities,1440,130,Conservative,Pre Brexit
2016,25 - 29,International students,Welsh Universities,520,40,Conservative,Pre Brexit
2016,25 - 29,Scottish students,English Universities,1525,180,Conservative,Pre Brexit
2016,25 - 29,Scottish students,Northern Irish Universities,50,0,Conservative,Pre Brexit
2016,25 - 29,Scottish students,Scottish Universities,31780,5180,Conservative,Pre Brexit
2016,25 - 29,Scottish students,Welsh Universities,55,0,Conservative,Pre Brexit
2016,25 - 29,Welsh students,English Universities,2800,280,Conservative,Pre Brexit
2016,25 - 29,Welsh students,Northern Irish Universities,15,0,Conservative,Pre Brexit
2016,25 - 29,Welsh students,Scottish Universities,100,5,Conservative,Pre Brexit
2016,25 - 29,Welsh students,Welsh Universities,4965,1230,Conservative,Pre Brexit
2016,30 - 34,European students,English Universities,1400,120,Conservative,Pre Brexit
2016,30 - 34,European students,Northern Irish Universities,60,0,Conservative,Pre Brexit
2016,30 - 34,European students,Scottish Universities,685,45,Conservative,Pre Brexit
2016,30 - 34,European students,Welsh Universities,80,10,Conservative,Pre Brexit
2016,30 - 34,English students,English Universities,82765,13530,Conservative,Pre Brexit
2016,30 - 34,English students,Northern Irish Universities,60,5,Conservative,Pre Brexit
2016,30 - 34,English students,Scottish Universities,640,50,Conservative,Pre Brexit
2016,30 - 34,English students,Welsh Universities,1040,120,Conservative,Pre Brexit
2016,30 - 34,Northern Irish students,English Universities,340,30,Conservative,Pre Brexit
2016,30 - 34,Northern Irish students,Northern Irish Universities,2250,345,Conservative,Pre Brexit
2016,30 - 34,Northern Irish students,Scottish Universities,130,5,Conservative,Pre Brexit
2016,30 - 34,Northern Irish students,Welsh Universities,20,0,Conservative,Pre Brexit
2016,30 - 34,International students,English Universities,4020,275,Conservative,Pre Brexit
2016,30 - 34,International students,Northern Irish Universities,60,5,Conservative,Pre Brexit
2016,30 - 34,International students,Scottish Universities,470,40,Conservative,Pre Brexit
2016,30 - 34,International students,Welsh Universities,200,15,Conservative,Pre Brexit
2016,30 - 34,Scottish students,English Universities,410,40,Conservative,Pre Brexit
2016,30 - 34,Scottish students,Northern Irish Universities,20,0,Conservative,Pre Brexit
2016,30 - 34,Scottish students,Scottish Universities,14300,2430,Conservative,Pre Brexit
2016,30 - 34,Scottish students,Welsh Universities,20,0,Conservative,Pre Brexit
2016,30 - 34,Welsh students,English Universities,1140,115,Conservative,Pre Brexit
2016,30 - 34,Welsh students,Scottish Universities,40,0,Conservative,Pre Brexit
2016,30 - 34,Welsh students,Welsh Universities,2850,815,Conservative,Pre Brexit
2016,35 and over,European students,English Universities,1520,150,Conservative,Pre Brexit
2016,35 and over,European students,Northern Irish Universities,180,25,Conservative,Pre Brexit
2016,35 and over,European students,Scottish Universities,460,35,Conservative,Pre Brexit
2016,35 and over,European students,Welsh Universities,80,5,Conservative,Pre Brexit
2016,35 and over,English students,English Universities,144810,23590,Conservative,Pre Brexit
2016,35 and over,English students,Northern Irish Universities,70,15,Conservative,Pre Brexit
2016,35 and over,English students,Scottish Universities,840,60,Conservative,Pre Brexit
2016,35 and over,English students,Welsh Universities,1220,150,Conservative,Pre Brexit
2016,35 and over,Northern Irish students,English Universities,270,20,Conservative,Pre Brexit
2016,35 and over,Northern Irish students,Northern Irish Universities,2600,425,Conservative,Pre Brexit
2016,35 and over,Northern Irish students,Scottish Universities,95,5,Conservative,Pre Brexit
2016,35 and over,Northern Irish students,Welsh Universities,25,0,Conservative,Pre Brexit
2016,35 and over,International students,English Universities,2980,210,Conservative,Pre Brexit
2016,35 and over,International students,Northern Irish Universities,25,0,Conservative,Pre Brexit
2016,35 and over,International students,Scottish Universities,345,20,Conservative,Pre Brexit
2016,35 and over,International students,Welsh Universities,110,10,Conservative,Pre Brexit
2016,35 and over,Scottish students,English Universities,510,60,Conservative,Pre Brexit
2016,35 and over,Scottish students,Scottish Universities,18320,3440,Conservative,Pre Brexit
2016,35 and over,Scottish students,Welsh Universities,20,0,Conservative,Pre Brexit
2016,35 and over,Welsh students,English Universities,1020,100,Conservative,Pre Brexit
2016,35 and over,Welsh students,Scottish Universities,25,0,Conservative,Pre Brexit
2016,35 and over,Welsh students,Welsh Universities,3815,1100,Conservative,Pre Brexit
2017,17 and under,European students,English Universities,28920,3640,Conservative,Pre Brexit
2017,17 and under,European students,Northern Irish Universities,450,50,Conservative,Pre Brexit
2017,17 and under,European students,Scottish Universities,7175,510,Conservative,Pre Brexit
2017,17 and under,European students,Welsh Universities,915,125,Conservative,Pre Brexit
2017,17 and under,English students,English Universities,7290,1120,Conservative,Pre Brexit
2017,17 and under,English students,Northern Irish Universities,10,0,Conservative,Pre Brexit
2017,17 and under,English students,Scottish Universities,490,50,Conservative,Pre Brexit
2017,17 and under,English students,Welsh Universities,130,20,Conservative,Pre Brexit
2017,17 and under,Northern Irish students,English Universities,110,10,Conservative,Pre Brexit
2017,17 and under,Northern Irish students,Northern Irish Universities,90,10,Conservative,Pre Brexit
2017,17 and under,Northern Irish students,Scottish Universities,30,0,Conservative,Pre Brexit
2017,17 and under,Northern Irish students,Welsh Universities,10,0,Conservative,Pre Brexit
2017,17 and under,International students,English Universities,54240,4550,Conservative,Pre Brexit
2017,17 and under,International students,Northern Irish Universities,400,30,Conservative,Pre Brexit
2017,17 and under,International students,Scottish Universities,4810,430,Conservative,Pre Brexit
2017,17 and under,International students,Welsh Universities,1425,100,Conservative,Pre Brexit
2017,17 and under,Scottish students,English Universities,225,35,Conservative,Pre Brexit
2017,17 and under,Scottish students,Scottish Universities,6080,830,Conservative,Pre Brexit
2017,17 and under,Welsh students,English Universities,100,20,Conservative,Pre Brexit
2017,17 and under,Welsh students,Scottish Universities,10,0,Conservative,Pre Brexit
2017,17 and under,Welsh students,Welsh Universities,40,10,Conservative,Pre Brexit
2017,18,European students,English Universities,118730,16000,Conservative,Pre Brexit
2017,18,European students,Northern Irish Universities,2730,280,Conservative,Pre Brexit
2017,18,European students,Scottish Universities,31150,2380,Conservative,Pre Brexit
2017,18,European students,Welsh Universities,4780,685,Conservative,Pre Brexit
2017,18,English students,English Universities,2102165,335870,Conservative,Pre Brexit
2017,18,English students,Northern Irish Universities,3240,315,Conservative,Pre Brexit
2017,18,English students,Scottish Universities,52500,5770,Conservative,Pre Brexit
2017,18,English students,Welsh Universities,61330,11030,Conservative,Pre Brexit
2017,18,Northern Irish students,English Universities,33300,3910,Conservative,Pre Brexit
2017,18,Northern Irish students,Northern Irish Universities,62830,9380,Conservative,Pre Brexit
2017,18,Northern Irish students,Scottish Universities,12620,1425,Conservative,Pre Brexit
2017,18,Northern Irish students,Welsh Universities,1675,175,Conservative,Pre Brexit
2017,18,International students,English Universities,215580,21440,Conservative,Pre Brexit
